"subject" "activity" "domain" "acceleration" "source" "firstDerivation" "secondDerivation" "calculation" "direction" "meanValue" "unit"
"1" "walking_upstairs" "time" "body" "gyroscope" NA NA "mean" "y" -0.084901663477116 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" NA NA "mean" "z" 0.0872530964713166 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" NA NA "std" "x" -0.702410251081505 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" NA NA "std" "y" -0.484224282954075 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" NA NA "std" "z" -0.626764226316614 "rad/seg"
"1" "walking_upstairs" "time" "gravity" "accelerometer" "magnitude" NA "mean" NA -0.492214147385266 "g"
"1" "walking_upstairs" "time" "gravity" "accelerometer" "magnitude" NA "std" NA -0.531818239176489 "g"
"1" "walking_upstairs" "time" "gravity" "accelerometer" NA NA "mean" "x" 0.730741616570533 "g"
"1" "walking_upstairs" "time" "gravity" "accelerometer" NA NA "mean" "y" -0.0608347193134796 "g"
"1" "walking_upstairs" "time" "gravity" "accelerometer" NA NA "mean" "z" 0.086953080507837 "g"
"1" "walking_upstairs" "time" "gravity" "accelerometer" NA NA "std" "x" -0.960106153793103 "g"
"1" "walking_upstairs" "time" "gravity" "accelerometer" NA NA "std" "y" -0.951687434539185 "g"
"1" "walking_upstairs" "time" "gravity" "accelerometer" NA NA "std" "z" -0.927506230724138 "g"
"10" "walking" "frequency" "body" "accelerometer" "jerk" "magnitude" "mean" NA -0.515140810846939 "g"
"10" "walking" "frequency" "body" "accelerometer" "jerk" "magnitude" "std" NA -0.553027359614864 "g"
"10" "walking" "frequency" "body" "accelerometer" "jerk" NA "mean" "x" -0.547243039827891 "g"
"10" "walking" "frequency" "body" "accelerometer" "jerk" NA "mean" "y" -0.555104553563503 "g"
"10" "walking" "frequency" "body" "accelerometer" "jerk" NA "mean" "z" -0.721689700769728 "g"
"10" "walking" "frequency" "body" "accelerometer" "jerk" NA "std" "x" -0.553403478735408 "g"
"10" "walking" "frequency" "body" "accelerometer" "jerk" NA "std" "y" -0.556271725483333 "g"
"10" "walking" "frequency" "body" "accelerometer" "jerk" NA "std" "z" -0.77916817122449 "g"
"10" "walking" "frequency" "body" "accelerometer" "magnitude" NA "mean" NA -0.518734046961905 "g"
"10" "walking" "frequency" "body" "accelerometer" "magnitude" NA "std" NA -0.633196110969728 "g"
"10" "walking" "frequency" "body" "accelerometer" NA NA "mean" "x" -0.532289464513605 "g"
"10" "walking" "frequency" "body" "accelerometer" NA NA "mean" "y" -0.494651474235034 "g"
"10" "walking" "frequency" "body" "accelerometer" NA NA "mean" "z" -0.655062273211565 "g"
"10" "walking" "frequency" "body" "accelerometer" NA NA "std" "x" -0.541170169070068 "g"
"10" "walking" "frequency" "body" "accelerometer" NA NA "std" "y" -0.532135172812313 "g"
"10" "walking" "frequency" "body" "accelerometer" NA NA "std" "z" -0.625871772082993 "g"
"10" "walking" "frequency" "body" "gyroscope" "jerk" "magnitude" "mean" NA -0.767780095068027 "rad/seg"
"10" "walking" "frequency" "body" "gyroscope" "jerk" "magnitude" "std" NA -0.787144257176871 "rad/seg"
"10" "walking" "frequency" "body" "gyroscope" "magnitude" NA "mean" NA -0.661496552826531 "rad/seg"
"10" "walking" "frequency" "body" "gyroscope" "magnitude" NA "std" NA -0.666014612598639 "rad/seg"
"10" "walking" "frequency" "body" "gyroscope" NA NA "mean" "x" -0.620379208870442 "rad/seg"
"10" "walking" "frequency" "body" "gyroscope" NA NA "mean" "y" -0.64835059542517 "rad/seg"
"10" "walking" "frequency" "body" "gyroscope" NA NA "mean" "z" -0.567456661721769 "rad/seg"
"10" "walking" "frequency" "body" "gyroscope" NA NA "std" "x" -0.692654261914966 "rad/seg"
"10" "walking" "frequency" "body" "gyroscope" NA NA "std" "y" -0.565943677806122 "rad/seg"
"10" "walking" "frequency" "body" "gyroscope" NA NA "std" "z" -0.645947720476871 "rad/seg"
"10" "walking" "time" "body" "accelerometer" "jerk" "magnitude" "mean" NA -0.57776193128833 "g"
"10" "walking" "time" "body" "accelerometer" "jerk" "magnitude" "std" NA -0.529340480130272 "g"
"10" "walking" "time" "body" "accelerometer" "jerk" NA "mean" "x" 0.0798108613061224 "g"
"10" "walking" "time" "body" "accelerometer" "jerk" NA "mean" "y" 0.0129143257457823 "g"
"10" "walking" "time" "body" "accelerometer" "jerk" NA "mean" "z" -0.0113556967940476 "g"
"10" "walking" "time" "body" "accelerometer" "jerk" NA "std" "x" -0.52938321427551 "g"
"10" "walking" "time" "body" "accelerometer" "jerk" NA "std" "y" -0.540236619204728 "g"
"10" "walking" "time" "body" "accelerometer" "jerk" NA "std" "z" -0.750729260772109 "g"
"10" "walking" "time" "body" "accelerometer" "magnitude" NA "mean" NA -0.502500207000204 "g"
"10" "walking" "time" "body" "accelerometer" "magnitude" NA "std" NA -0.545348810631551 "g"
"10" "walking" "time" "body" "accelerometer" NA NA "mean" "x" 0.27684847392517 "g"
"10" "walking" "time" "body" "accelerometer" NA NA "mean" "y" -0.017835790552415 "g"
"10" "walking" "time" "body" "accelerometer" NA NA "mean" "z" -0.111301532185714 "g"
"10" "walking" "time" "body" "accelerometer" NA NA "std" "x" -0.537807711163265 "g"
"10" "walking" "time" "body" "accelerometer" NA NA "std" "y" -0.497405885644898 "g"
"10" "walking" "time" "body" "accelerometer" NA NA "std" "z" -0.614776952226361 "g"
"10" "walking" "time" "body" "gyroscope" "jerk" "magnitude" "mean" NA -0.734465805340136 "rad/seg"
"10" "walking" "time" "body" "gyroscope" "jerk" "magnitude" "std" NA -0.768821828979592 "rad/seg"
"10" "walking" "time" "body" "gyroscope" "jerk" NA "mean" "x" -0.108150829882313 "rad/seg"
"10" "walking" "time" "body" "gyroscope" "jerk" NA "mean" "y" -0.0424219983671769 "rad/seg"
"10" "walking" "time" "body" "gyroscope" "jerk" NA "mean" "z" -0.0555521277515646 "rad/seg"
"10" "walking" "time" "body" "gyroscope" "jerk" NA "std" "x" -0.703243499727891 "rad/seg"
"10" "walking" "time" "body" "gyroscope" "jerk" NA "std" "y" -0.768641779047619 "rad/seg"
"10" "walking" "time" "body" "gyroscope" "jerk" NA "std" "z" -0.686800252738095 "rad/seg"
"10" "walking" "time" "body" "gyroscope" "magnitude" NA "mean" NA -0.521819802352381 "rad/seg"
"10" "walking" "time" "body" "gyroscope" "magnitude" NA "std" NA -0.624408369413333 "rad/seg"
"10" "walking" "time" "body" "gyroscope" NA NA "mean" "x" -0.0185023695936054 "rad/seg"
"10" "walking" "time" "body" "gyroscope" NA NA "mean" "y" -0.0846403674590918 "rad/seg"
"10" "walking" "time" "body" "gyroscope" NA NA "mean" "z" 0.0910265011879252 "rad/seg"
"10" "walking" "time" "body" "gyroscope" NA NA "std" "x" -0.67390558227449 "rad/seg"
"10" "walking" "time" "body" "gyroscope" NA NA "std" "y" -0.591333155194558 "rad/seg"
"10" "walking" "time" "body" "gyroscope" NA NA "std" "z" -0.598142328621088 "rad/seg"
"10" "walking" "time" "gravity" "accelerometer" "magnitude" NA "mean" NA -0.502500207000204 "g"
"10" "walking" "time" "gravity" "accelerometer" "magnitude" NA "std" NA -0.545348810631551 "g"
"10" "walking" "time" "gravity" "accelerometer" NA NA "mean" "x" 0.642905730306122 "g"
"10" "walking" "time" "gravity" "accelerometer" NA NA "mean" "y" -0.0740248544557823 "g"
"10" "walking" "time" "gravity" "accelerometer" NA NA "mean" "z" 0.0552047227876769 "g"
"10" "walking" "time" "gravity" "accelerometer" NA NA "std" "x" -0.965808126428571 "g"
"10" "walking" "time" "gravity" "accelerometer" NA NA "std" "y" -0.95452407255102 "g"
"10" "walking" "time" "gravity" "accelerometer" NA NA "std" "z" -0.938706428064626 "g"
"11" "sitting" "frequency" "body" "accelerometer" "jerk" "magnitude" "mean" NA -0.656133473274684 "g"
"11" "sitting" "frequency" "body" "accelerometer" "jerk" "magnitude" "std" NA -0.676925075857595 "g"
"11" "sitting" "frequency" "body" "accelerometer" "jerk" NA "mean" "x" -0.676672987166456 "g"
"11" "sitting" "frequency" "body" "accelerometer" "jerk" NA "mean" "y" -0.632374688606013 "g"
"11" "sitting" "frequency" "body" "accelerometer" "jerk" NA "mean" "z" -0.825559590221519 "g"
"11" "sitting" "frequency" "body" "accelerometer" "jerk" NA "std" "x" -0.672195644346519 "g"
"11" "sitting" "frequency" "body" "accelerometer" "jerk" NA "std" "y" -0.609444998247785 "g"
"11" "sitting" "frequency" "body" "accelerometer" "jerk" NA "std" "z" -0.858259630601266 "g"
"11" "sitting" "frequency" "body" "accelerometer" "magnitude" NA "mean" NA -0.611528074359177 "g"
"11" "sitting" "frequency" "body" "accelerometer" "magnitude" NA "std" NA -0.674470159009494 "g"
"11" "sitting" "frequency" "body" "accelerometer" NA NA "mean" "x" -0.619524028324684 "g"
"11" "sitting" "frequency" "body" "accelerometer" NA NA "mean" "y" -0.531455265662532 "g"
"11" "sitting" "frequency" "body" "accelerometer" NA NA "mean" "z" -0.750026145791139 "g"
"11" "sitting" "frequency" "body" "accelerometer" NA NA "std" "x" -0.579491754749367 "g"
"11" "sitting" "frequency" "body" "accelerometer" NA NA "std" "y" -0.502570240243354 "g"
"11" "sitting" "frequency" "body" "accelerometer" NA NA "std" "z" -0.652095671108544 "g"
"11" "sitting" "frequency" "body" "gyroscope" "jerk" "magnitude" "mean" NA -0.864827011392405 "rad/seg"
"11" "sitting" "frequency" "body" "gyroscope" "jerk" "magnitude" "std" NA -0.879254016740506 "rad/seg"
"11" "sitting" "frequency" "body" "gyroscope" "magnitude" NA "mean" NA -0.757585939588608 "rad/seg"
"11" "sitting" "frequency" "body" "gyroscope" "magnitude" NA "std" NA -0.711267219682278 "rad/seg"
"11" "sitting" "frequency" "body" "gyroscope" NA NA "mean" "x" -0.709949332117089 "rad/seg"
"11" "sitting" "frequency" "body" "gyroscope" NA NA "mean" "y" -0.776852868955696 "rad/seg"
"11" "sitting" "frequency" "body" "gyroscope" NA NA "mean" "z" -0.708842979272152 "rad/seg"
"11" "sitting" "frequency" "body" "gyroscope" NA NA "std" "x" -0.751758277167721 "rad/seg"
"11" "sitting" "frequency" "body" "gyroscope" NA NA "std" "y" -0.670892713066772 "rad/seg"
"11" "sitting" "frequency" "body" "gyroscope" NA NA "std" "z" -0.75596062835443 "rad/seg"
"11" "sitting" "time" "body" "accelerometer" "jerk" "magnitude" "mean" NA -0.679819504547468 "g"
"11" "sitting" "time" "body" "accelerometer" "jerk" "magnitude" "std" NA -0.664241760370253 "g"
"11" "sitting" "time" "body" "accelerometer" "jerk" NA "mean" "x" 0.0830134540658228 "g"
"11" "sitting" "time" "body" "accelerometer" "jerk" NA "mean" "y" 0.0078044254343038 "g"
"11" "sitting" "time" "body" "accelerometer" "jerk" NA "mean" "z" -0.00657424975259494 "g"
"11" "sitting" "time" "body" "accelerometer" "jerk" NA "std" "x" -0.659323083055063 "g"
"11" "sitting" "time" "body" "accelerometer" "jerk" NA "std" "y" -0.608784226719937 "g"
"11" "sitting" "time" "body" "accelerometer" "jerk" NA "std" "z" -0.842511816044304 "g"
"11" "sitting" "time" "body" "accelerometer" "magnitude" NA "mean" NA -0.542825032813608 "g"
"11" "sitting" "time" "body" "accelerometer" "magnitude" NA "std" NA -0.612882270912658 "g"
"11" "sitting" "time" "body" "accelerometer" NA NA "mean" "x" 0.27658531139557 "g"
"11" "sitting" "time" "body" "accelerometer" NA NA "mean" "y" -0.0191272531933228 "g"
"11" "sitting" "time" "body" "accelerometer" NA NA "mean" "z" -0.108941761642405 "g"
"11" "sitting" "time" "body" "accelerometer" NA NA "std" "x" -0.58947649779557 "g"
"11" "sitting" "time" "body" "accelerometer" NA NA "std" "y" -0.490379346996835 "g"
"11" "sitting" "time" "body" "accelerometer" NA NA "std" "z" -0.665324314227848 "g"
"11" "sitting" "time" "body" "gyroscope" "jerk" "magnitude" "mean" NA -0.826829028481013 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" "jerk" "magnitude" "std" NA -0.866905012626582 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" "jerk" NA "mean" "x" -0.0805473309873418 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" "jerk" NA "mean" "y" -0.0493914065474684 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" "jerk" NA "mean" "z" -0.0480140167267405 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" "jerk" NA "std" "x" -0.781738140601266 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" "jerk" NA "std" "y" -0.868377254082279 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" "jerk" NA "std" "z" -0.795490882468354 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" "magnitude" NA "mean" NA -0.628367851066456 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" "magnitude" NA "std" NA -0.696771378957911 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" NA NA "mean" "x" -0.0547328440272468 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" NA NA "mean" "y" -0.0582275770813291 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" NA NA "mean" "z" 0.087284109682356 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" NA NA "std" "x" -0.739922126628797 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" NA NA "std" "y" -0.703501766487342 "rad/seg"
"11" "sitting" "time" "body" "gyroscope" NA NA "std" "z" -0.725016008797468 "rad/seg"
"11" "sitting" "time" "gravity" "accelerometer" "magnitude" NA "mean" NA -0.542825032813608 "g"
"11" "sitting" "time" "gravity" "accelerometer" "magnitude" NA "std" NA -0.612882270912658 "g"
"11" "sitting" "time" "gravity" "accelerometer" NA NA "mean" "x" 0.730526184936709 "g"
"11" "sitting" "time" "gravity" "accelerometer" NA NA "mean" "y" 0.0527387028613924 "g"
"11" "sitting" "time" "gravity" "accelerometer" NA NA "mean" "z" 0.140209861246835 "g"
"11" "sitting" "time" "gravity" "accelerometer" NA NA "std" "x" -0.975394457689873 "g"
"11" "sitting" "time" "gravity" "accelerometer" NA NA "std" "y" -0.957138770727848 "g"
"11" "sitting" "time" "gravity" "accelerometer" NA NA "std" "z" -0.956812000411392 "g"
"12" "walking" "frequency" "body" "accelerometer" "jerk" "magnitude" "mean" NA -0.564239194378438 "g"
"12" "walking" "frequency" "body" "accelerometer" "jerk" "magnitude" "std" NA -0.571614888155312 "g"
"12" "walking" "frequency" "body" "accelerometer" "jerk" NA "mean" "x" -0.599109317756219 "g"
"12" "walking" "frequency" "body" "accelerometer" "jerk" NA "mean" "y" -0.591296422972219 "g"
"12" "walking" "frequency" "body" "accelerometer" "jerk" NA "mean" "z" -0.7754265825625 "g"
"12" "walking" "frequency" "body" "accelerometer" "jerk" NA "std" "x" -0.602960063359688 "g"
"12" "walking" "frequency" "body" "accelerometer" "jerk" NA "std" "y" -0.579168053712969 "g"
"12" "walking" "frequency" "body" "accelerometer" "jerk" NA "std" "z" -0.80858300040625 "g"
